B19001_001E:Total:,B19013_001E:Median household income in the past 12 months (in 2021 inflation-adjusted dollars),state_fips,county_fips,tract_fips,year,source
1412,43735,42,003,300100,2021,ACS 2021
1376,69286,42,003,310200,2021,ACS 2021
886,58000,42,003,320400,2021,ACS 2021
1023,85037,42,003,320600,2021,ACS 2021
726,68359,42,003,320700,2021,ACS 2021
2094,75739,42,003,401100,2021,ACS 2021
1323,41840,42,003,401200,2021,ACS 2021
1155,66146,42,003,401300,2021,ACS 2021
1568,41157,42,003,402000,2021,ACS 2021
2067,37513,42,003,403500,2021,ACS 2021
641,58882,42,003,404000,2021,ACS 2021
457,77656,42,003,405000,2021,ACS 2021
976,65227,42,003,406000,2021,ACS 2021
2525,77371,42,003,407001,2021,ACS 2021
2842,87500,42,003,407002,2021,ACS 2021
1979,114612,42,003,408001,2021,ACS 2021
2408,120000,42,003,408002,2021,ACS 2021
3292,156674,42,003,409001,2021,ACS 2021
1603,238346,42,003,409002,2021,ACS 2021
484,141304,42,003,410000,2021,ACS 2021
1307,239458,42,003,411001,2021,ACS 2021
2273,108548,42,003,411002,2021,ACS 2021
1703,160875,42,003,412002,2021,ACS 2021
2243,141602,42,003,412003,2021,ACS 2021
1499,124570,42,003,412004,2021,ACS 2021
2702,111250,42,003,413100,2021,ACS 2021
1563,94076,42,003,413201,2021,ACS 2021
1214,88942,42,003,413202,2021,ACS 2021
1861,85807,42,003,413300,2021,ACS 2021
1688,112188,42,003,413400,2021,ACS 2021
3330,64953,42,003,413500,2021,ACS 2021
1929,126219,42,003,414101,2021,ACS 2021
2929,93708,42,003,414102,2021,ACS 2021
2128,100742,42,003,414200,2021,ACS 2021
1566,106964,42,003,415001,2021,ACS 2021
1034,106250,42,003,415002,2021,ACS 2021
784,54135,42,003,416000,2021,ACS 2021
966,64479,42,003,417100,2021,ACS 2021
607,64306,42,003,417200,2021,ACS 2021
754,69722,42,003,418000,2021,ACS 2021
1521,63472,42,003,419000,2021,ACS 2021
910,37443,42,003,420000,2021,ACS 2021
2038,124241,42,003,421100,2021,ACS 2021
1812,88269,42,003,421200,2021,ACS 2021
1767,247930,42,003,422000,2021,ACS 2021
1239,102765,42,003,423000,2021,ACS 2021
