,place_name,population,state_fips,county_fips,tract_fips,year,source,GEOID
61,"Census Tract 1046.01, Bucks County, Pennsylvania",4515,42,17,104601,2019,ACS 2019,42017104601
62,"Census Tract 1046.04, Bucks County, Pennsylvania",5771,42,17,104604,2019,ACS 2019,42017104604
63,"Census Tract 1050.06, Bucks County, Pennsylvania",5548,42,17,105006,2019,ACS 2019,42017105006
64,"Census Tract 1058.07, Bucks County, Pennsylvania",3819,42,17,105807,2019,ACS 2019,42017105807
65,"Census Tract 1016.11, Bucks County, Pennsylvania",6485,42,17,101611,2019,ACS 2019,42017101611
66,"Census Tract 1023, Bucks County, Pennsylvania",5737,42,17,102300,2019,ACS 2019,42017102300
67,"Census Tract 1027, Bucks County, Pennsylvania",5232,42,17,102700,2019,ACS 2019,42017102700
68,"Census Tract 1040, Bucks County, Pennsylvania",7128,42,17,104000,2019,ACS 2019,42017104000
69,"Census Tract 7413, Washington County, Pennsylvania",3487,42,125,741300,2019,ACS 2019,42125741300
70,"Census Tract 7711, Washington County, Pennsylvania",5974,42,125,771100,2019,ACS 2019,42125771100
71,"Census Tract 7922, Washington County, Pennsylvania",3096,42,125,792200,2019,ACS 2019,42125792200
72,"Census Tract 7127, Washington County, Pennsylvania",1350,42,125,712700,2019,ACS 2019,42125712700
73,"Census Tract 7041, Washington County, Pennsylvania",1975,42,125,704100,2019,ACS 2019,42125704100
74,"Census Tract 7832, Washington County, Pennsylvania",2376,42,125,783200,2019,ACS 2019,42125783200
75,"Census Tract 7833, Washington County, Pennsylvania",1577,42,125,783300,2019,ACS 2019,42125783300
76,"Census Tract 7840, Washington County, Pennsylvania",2648,42,125,784000,2019,ACS 2019,42125784000
77,"Census Tract 7527, Washington County, Pennsylvania",4549,42,125,752700,2019,ACS 2019,42125752700
78,"Census Tract 7157, Washington County, Pennsylvania",1633,42,125,715700,2019,ACS 2019,42125715700
79,"Census Tract 7461, Washington County, Pennsylvania",6045,42,125,746100,2019,ACS 2019,42125746100
80,"Census Tract 7512, Washington County, Pennsylvania",3185,42,125,751200,2019,ACS 2019,42125751200
81,"Census Tract 7543, Washington County, Pennsylvania",2526,42,125,754300,2019,ACS 2019,42125754300
82,"Census Tract 7544, Washington County, Pennsylvania",1780,42,125,754400,2019,ACS 2019,42125754400
83,"Census Tract 7620, Washington County, Pennsylvania",2593,42,125,762000,2019,ACS 2019,42125762000
84,"Census Tract 7910, Washington County, Pennsylvania",1469,42,125,791000,2019,ACS 2019,42125791000
85,"Census Tract 7451, Washington County, Pennsylvania",9005,42,125,745100,2019,ACS 2019,42125745100
86,"Census Tract 7752, Washington County, Pennsylvania",2147,42,125,775200,2019,ACS 2019,42125775200
87,"Census Tract 7610, Washington County, Pennsylvania",5221,42,125,761000,2019,ACS 2019,42125761000
88,"Census Tract 7542, Washington County, Pennsylvania",3075,42,125,754200,2019,ACS 2019,42125754200
89,"Census Tract 5, Lebanon County, Pennsylvania",3615,42,75,500,2019,ACS 2019,42075000500
90,"Census Tract 20, Lebanon County, Pennsylvania",3152,42,75,2000,2019,ACS 2019,42075002000
91,"Census Tract 3013, Chester County, Pennsylvania",6759,42,29,301300,2019,ACS 2019,42029301300
92,"Census Tract 3015, Chester County, Pennsylvania",2632,42,29,301500,2019,ACS 2019,42029301500
93,"Census Tract 3016, Chester County, Pennsylvania",2545,42,29,301600,2019,ACS 2019,42029301600
94,"Census Tract 3017, Chester County, Pennsylvania",1662,42,29,301700,2019,ACS 2019,42029301700
95,"Census Tract 3021.01, Chester County, Pennsylvania",7320,42,29,302101,2019,ACS 2019,42029302101
96,"Census Tract 3022.02, Chester County, Pennsylvania",7417,42,29,302202,2019,ACS 2019,42029302202
97,"Census Tract 3028.04, Chester County, Pennsylvania",3951,42,29,302804,2019,ACS 2019,42029302804
98,"Census Tract 1049.02, Bucks County, Pennsylvania",7395,42,17,104902,2019,ACS 2019,42017104902
99,"Census Tract 1052.02, Bucks County, Pennsylvania",4895,42,17,105202,2019,ACS 2019,42017105202
100,"Census Tract 1058.05, Bucks County, Pennsylvania",5666,42,17,105805,2019,ACS 2019,42017105805
101,"Census Tract 1058.10, Bucks County, Pennsylvania",2206,42,17,105810,2019,ACS 2019,42017105810
102,"Census Tract 1002.10, Bucks County, Pennsylvania",7261,42,17,100210,2019,ACS 2019,42017100210
103,"Census Tract 1002.12, Bucks County, Pennsylvania",3657,42,17,100212,2019,ACS 2019,42017100212
104,"Census Tract 1003.06, Bucks County, Pennsylvania",3494,42,17,100306,2019,ACS 2019,42017100306
105,"Census Tract 1004.01, Bucks County, Pennsylvania",6317,42,17,100401,2019,ACS 2019,42017100401
106,"Census Tract 338, Philadelphia County, Pennsylvania",6380,42,101,33800,2019,ACS 2019,42101033800
107,"Census Tract 344, Philadelphia County, Pennsylvania",8044,42,101,34400,2019,ACS 2019,42101034400
108,"Census Tract 347.01, Philadelphia County, Pennsylvania",6879,42,101,34701,2019,ACS 2019,42101034701
109,"Census Tract 352, Philadelphia County, Pennsylvania",4686,42,101,35200,2019,ACS 2019,42101035200
110,"Census Tract 358, Philadelphia County, Pennsylvania",6806,42,101,35800,2019,ACS 2019,42101035800
111,"Census Tract 359, Philadelphia County, Pennsylvania",5548,42,101,35900,2019,ACS 2019,42101035900
